1	sp	0.0125	0.6125
2	PLEASE	0.6125	0.9425
3	CALL	0.9425	1.1925
4	STELLA	1.1925	1.6925
5	sp	1.6925	2.0825
6	ASK	2.0825	2.3925
7	HER	2.3925	2.4925
8	TO	2.4925	2.6325
9	BRING	2.6325	2.9125
10	THESE	2.9125	3.0925
11	sp	3.0925	3.1325
12	THINGS	3.1325	3.4825
13	WITH	3.4825	3.6225
14	sp	3.6225	3.6425
15	HER	3.6425	3.8725
16	FROM	3.8725	4.0925
17	THE	4.0925	4.1625
18	STORE	4.1625	4.6625
19	sp	4.6625	4.7425
20	SIX	4.7425	4.9925
21	SPOONS	4.9925	5.3425
22	OF	5.3425	5.4125
23	FRESH	5.4125	5.7425
24	SNOW	5.7425	6.0425
25	PEAS	6.0425	6.3925
26	sp	6.3925	6.9625
27	FIVE	6.9625	7.3525
28	THICK	7.3525	7.5325
29	SLABS	7.5325	7.9425
30	OF	7.9425	8.0525
31	BLUE	8.0525	8.2725
32	CHEESE	8.2725	8.6825
33	AND	8.6825	8.8625
34	MAYBE	8.8625	9.1325
35	A	9.1325	9.2025
36	SNACK	9.2025	9.5725
37	FOR	9.5725	9.6725
38	HER	9.6725	9.8025
39	BROTHER	9.8025	10.1825
40	BOB	10.1825	10.5325
41	sp	10.5325	11.0825
42	WE	11.0825	11.4025
43	ALSO	11.4025	11.7825
44	NEED	11.7825	12.1025
45	A	12.1025	12.1625
46	SMALL	12.1625	12.4825
47	PLASTIC	12.4825	12.9225
48	SNAKE	12.9225	13.4125
49	AND	13.4125	13.6725
50	A	13.6725	13.7625
51	BIG	13.7625	13.8625
52	TOY	13.8625	14.1525
53	FROG	14.1525	14.5825
54	FOR	14.5825	14.7025
55	THE	14.7025	14.7725
56	KIDS	14.7725	15.0825
57	sp	15.0825	15.6225
58	SHE	15.6225	15.7925
59	CAN	15.7925	15.9825
60	SCOOP	15.9825	16.2525
61	THESE	16.2525	16.5325
62	sp	16.5325	16.5725
63	THINGS	16.5725	16.9225
64	INTO	16.9225	17.1525
65	THREE	17.1525	17.4925
66	RED	17.4925	17.7425
67	BAGS	17.7425	18.1125
68	AND	18.1125	18.2625
69	WE	18.2625	18.4025
70	WILL	18.4025	18.5225
71	GO	18.5225	18.7525
72	MEET	18.7525	19.0325
73	HER	19.0325	19.4025
74	sp	19.4025	19.4325
75	WEDNESDAY	19.4325	19.9925
76	AT	19.9925	20.1125
77	THE	20.1125	20.1725
78	TRAIN	20.1725	20.4925
79	STATION	20.4925	20.9525
80	sp	20.9525	21.3625
