1	sp	0.0125	0.0625
2	PLEASE	0.0625	0.4925
3	CALL	0.4925	0.7225
4	STELLA	0.7225	1.3325
5	sp	1.3325	1.8425
6	ASK	1.8425	2.0925
7	HER	2.0925	2.4825
8	TO	2.4825	2.6525
9	BRING	2.6525	2.9125
10	THESE	2.9125	3.1925
11	THINGS	3.1925	3.4825
12	WITH	3.4825	3.7425
13	HER	3.7425	4.1725
14	sp	4.1725	4.4425
15	FROM	4.4425	4.6525
16	THE	4.6525	4.7225
17	STORE	4.7225	5.2625
18	sp	5.2625	5.7525
19	SIX	5.7525	6.1825
20	SPOONS	6.1825	6.7225
21	OF	6.7225	6.7925
22	FRESH	6.7925	7.5525
23	sp	7.5525	7.8825
24	SNOW	7.8825	8.2425
25	PEAS	8.2425	8.7425
26	sp	8.7425	9.1125
27	FIVE	9.1125	9.3625
28	THICK	9.3625	9.6925
29	SLABS	9.6925	10.3625
30	OF	10.3625	10.4625
31	sp	10.4625	10.5725
32	BLUE	10.5725	10.7525
33	CHEESE	10.7525	11.3925
34	sp	11.3925	11.9725
35	AND	11.9725	12.1825
36	MAYBE	12.1825	12.7625
37	A	12.7625	12.7925
38	SNACK	12.7925	13.1625
39	FOR	13.1625	13.3925
40	HER	13.3925	13.6725
41	BROTHER	13.6725	13.9525
42	BOB	13.9525	14.4225
43	sp	14.4225	14.9925
44	WE	14.9925	15.1025
45	ALSO	15.1025	15.3525
46	NEED	15.3525	15.7025
47	A	15.7025	15.7325
48	SMALL	15.7325	16.1825
49	PLASTIC	16.1825	16.6125
50	SNAKE	16.6125	17.2725
51	AND	17.2725	17.3825
52	A	17.3825	17.4525
53	BIG	17.4525	17.6825
54	sp	17.6825	17.7125
55	TOY	17.7125	17.9025
56	FROG	17.9025	18.3725
57	sp	18.3725	18.5525
58	FOR	18.5525	18.7725
59	THE	18.7725	18.9025
60	KIDS	18.9025	19.4325
61	sp	19.4325	20.0525
62	SHE	20.0525	20.2025
63	CAN	20.2025	20.3625
64	SCOOP	20.3625	21.0025
65	sp	21.0025	21.2425
66	THESE	21.2425	21.5425
67	THINGS	21.5425	21.8225
68	INTO	21.8225	22.1025
69	THREE	22.1025	22.4425
70	RED	22.4425	22.7125
71	sp	22.7125	22.7625
72	BAGS	22.7625	23.2825
73	sp	23.2825	23.6525
74	AND	23.6525	23.8525
75	WE	23.8525	23.9925
76	WILL	23.9925	24.2225
77	GO	24.2225	24.4325
78	MEET	24.4325	24.9125
79	sp	24.9125	24.9425
80	HER	24.9425	25.3925
81	WEDNESDAY	25.3925	26.0425
82	sp	26.0425	26.1825
83	AT	26.1825	26.3625
84	THE	26.3625	26.4325
85	TRAIN	26.4325	26.8125
86	STATION	26.8125	27.4125
87	sp	27.4125	27.8525
