1	sp	0.0125	0.1225
2	PLEASE	0.1225	0.4625
3	CALL	0.4625	0.7525
4	STELLA	0.7525	1.3125
5	sp	1.3125	1.9525
6	ASK	1.9525	2.2125
7	HER	2.2125	2.3025
8	TO	2.3025	2.4525
9	BRING	2.4525	2.8625
10	sp	2.8625	2.9025
11	THESE	2.9025	3.2425
12	sp	3.2425	3.2825
13	THINGS	3.2825	3.8225
14	sp	3.8225	4.0625
15	WITH	4.0625	4.2225
16	HER	4.2225	4.3725
17	FROM	4.3725	4.7725
18	sp	4.7725	4.9925
19	THE	4.9925	5.0625
20	STORE	5.0625	5.5225
21	sp	5.5225	6.1725
22	SIX	6.1725	6.4625
23	SPOONS	6.4625	7.2025
24	OF	7.2025	7.3025
25	FRESH	7.3025	7.6125
26	SNOW	7.6125	7.9825
27	PEAS	7.9825	8.4525
28	sp	8.4525	8.5825
29	FIVE	8.5825	8.9125
30	sp	8.9125	9.0025
31	THICK	9.0025	9.2025
32	SLABS	9.2025	9.7025
33	OF	9.7025	9.7625
34	sp	9.7625	9.8625
35	BLUE	9.8625	10.0525
36	CHEESE	10.0525	10.5625
37	sp	10.5625	11.7525
38	AND	11.7525	11.9525
39	MAYBE	11.9525	12.2425
40	A	12.2425	12.2925
41	SNACK	12.2925	12.7525
42	FOR	12.7525	12.9325
43	HER	12.9325	13.0125
44	BROTHER	13.0125	13.3525
45	BOB	13.3525	13.6225
46	sp	13.6225	14.5125
47	WE	14.5125	14.6325
48	ALSO	14.6325	14.9425
49	NEED	14.9425	15.2325
50	A	15.2325	15.2825
51	SMALL	15.2825	15.6625
52	PLASTIC	15.6625	16.1525
53	SNAKE	16.1525	16.5425
54	sp	16.5425	17.5425
55	AND	17.5425	17.7125
56	A	17.7125	17.7725
57	BIG	17.7725	18.0225
58	sp	18.0225	18.1025
59	TOY	18.1025	18.4725
60	FROG	18.4725	18.8625
61	sp	18.8625	18.9225
62	FOR	18.9225	19.0625
63	THE	19.0625	19.1625
64	KIDS	19.1625	19.6525
65	sp	19.6525	20.3825
66	SHE	20.3825	20.4825
67	CAN	20.4825	20.6425
68	SCOOP	20.6425	21.1225
69	THESE	21.1225	21.4025
70	sp	21.4025	21.4625
71	THINGS	21.4625	21.8625
72	INTO	21.8625	22.2925
73	sp	22.2925	22.4525
74	THREE	22.4525	22.7925
75	RED	22.7925	22.9725
76	sp	22.9725	23.0525
77	BAGS	23.0525	23.5425
78	sp	23.5425	23.6925
79	AND	23.6925	23.9025
80	WE	23.9025	24.0525
81	WILL	24.0525	24.2925
82	sp	24.2925	24.7725
83	GO	24.7725	24.9925
84	MEET	24.9925	25.3325
85	HER	25.3325	25.5225
86	sp	25.5225	25.7725
87	WEDNESDAY	25.7725	26.3525
88	AT	26.3525	26.5225
89	sp	26.5225	26.5625
90	THE	26.5625	26.6825
91	TRAIN	26.6825	27.0525
92	STATION	27.0525	27.6425
93	sp	27.6425	28.1225
